[DEBUG] 2020-12-15 19:50:44.418 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-15 19:50:44.423 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-15 19:50:44.431 [http-nio-8080-exec-5] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-15 19:50:44.544 [http-nio-8080-exec-5] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-15 19:50:44.546 [http-nio-8080-exec-5] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-15 19:50:44.732 [http-nio-8080-exec-5] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-15 19:50:44.733 [http-nio-8080-exec-5] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-15 19:50:44.762 [http-nio-8080-exec-5] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-15 19:50:45.192 [http-nio-8080-exec-5] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-15 19:50:45.239 [http-nio-8080-exec-5] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-15 19:50:45.241 [http-nio-8080-exec-5] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-15 19:50:45.279 [http-nio-8080-exec-5] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-15 19:50:45.333 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1fdf150b
[DEBUG] 2020-12-15 19:50:45.333 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1fdf150b
[DEBUG] 2020-12-15 19:50:45.333 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1fdf150b
[DEBUG] 2020-12-15 19:50:45.333 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@722ca7c
[DEBUG] 2020-12-15 19:50:45.334 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7fbac4fe
[DEBUG] 2020-12-15 19:50:45.334 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@6457b7dd
[DEBUG] 2020-12-15 19:50:45.335 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1fb43ec5
[DEBUG] 2020-12-15 19:50:45.335 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@1fb43ec5
[DEBUG] 2020-12-15 19:50:45.335 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@1fb43ec5
[DEBUG] 2020-12-15 19:50:45.336 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@64b005c9
[DEBUG] 2020-12-15 19:50:45.336 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@64b005c9
[DEBUG] 2020-12-15 19:50:45.336 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@64b005c9
[DEBUG] 2020-12-15 19:50:45.337 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@76da3e88
[DEBUG] 2020-12-15 19:50:45.337 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@76da3e88
[DEBUG] 2020-12-15 19:50:45.337 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@76da3e88
[DEBUG] 2020-12-15 19:50:45.338 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@1d3c6dc8
[DEBUG] 2020-12-15 19:50:45.338 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@1d3c6dc8
[DEBUG] 2020-12-15 19:50:45.338 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@1d3c6dc8
[DEBUG] 2020-12-15 19:50:45.340 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2f8dc52f
[DEBUG] 2020-12-15 19:50:45.341 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@2f8dc52f
[DEBUG] 2020-12-15 19:50:45.341 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2f8dc52f
[DEBUG] 2020-12-15 19:50:45.342 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@55b08ee3
[DEBUG] 2020-12-15 19:50:45.342 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@55b08ee3
[DEBUG] 2020-12-15 19:50:45.342 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@55b08ee3
[DEBUG] 2020-12-15 19:50:45.343 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4d918092
[DEBUG] 2020-12-15 19:50:45.344 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4d918092
[DEBUG] 2020-12-15 19:50:45.344 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4d918092
[DEBUG] 2020-12-15 19:50:45.345 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@147a21bf
[DEBUG] 2020-12-15 19:50:45.345 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@147a21bf
[DEBUG] 2020-12-15 19:50:45.346 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@40cbfa12
[DEBUG] 2020-12-15 19:50:45.346 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@40cbfa12
[DEBUG] 2020-12-15 19:50:45.347 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@23ded5ce
[DEBUG] 2020-12-15 19:50:45.347 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@23ded5ce
[DEBUG] 2020-12-15 19:50:45.347 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@2954212b
[DEBUG] 2020-12-15 19:50:45.348 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@17fb3889
[DEBUG] 2020-12-15 19:50:45.349 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@582c699b
[DEBUG] 2020-12-15 19:50:45.350 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@582c699b
[DEBUG] 2020-12-15 19:50:45.351 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@4922cba8
[DEBUG] 2020-12-15 19:50:45.351 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4922cba8
[DEBUG] 2020-12-15 19:50:45.354 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@f41669b
[DEBUG] 2020-12-15 19:50:45.354 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@f41669b
[DEBUG] 2020-12-15 19:50:45.356 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@25c137b7
[DEBUG] 2020-12-15 19:50:45.356 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@25c137b7
[DEBUG] 2020-12-15 19:50:45.357 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@4793db2
[DEBUG] 2020-12-15 19:50:45.357 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@4793db2
[DEBUG] 2020-12-15 19:50:45.358 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@1276717
[DEBUG] 2020-12-15 19:50:45.358 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@1276717
[DEBUG] 2020-12-15 19:50:45.359 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@48c9dad2
[DEBUG] 2020-12-15 19:50:45.359 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@48c9dad2
[DEBUG] 2020-12-15 19:50:45.361 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@2ada81d0
[DEBUG] 2020-12-15 19:50:45.361 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@2ada81d0
[DEBUG] 2020-12-15 19:50:45.364 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@e764a10
[DEBUG] 2020-12-15 19:50:45.364 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@e764a10
[DEBUG] 2020-12-15 19:50:45.365 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@86559eb
[DEBUG] 2020-12-15 19:50:45.366 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@86559eb
[DEBUG] 2020-12-15 19:50:45.367 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@58115935
[DEBUG] 2020-12-15 19:50:45.367 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@58115935
[DEBUG] 2020-12-15 19:50:45.368 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@1730353
[DEBUG] 2020-12-15 19:50:45.368 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1730353
[DEBUG] 2020-12-15 19:50:45.368 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1730353
[DEBUG] 2020-12-15 19:50:45.370 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@7b911f58
[DEBUG] 2020-12-15 19:50:45.371 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@411b0bda
[DEBUG] 2020-12-15 19:50:45.371 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@411b0bda
[DEBUG] 2020-12-15 19:50:45.371 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@411b0bda
[DEBUG] 2020-12-15 19:50:45.372 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@5d286588
[DEBUG] 2020-12-15 19:50:45.372 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@776fe98
[DEBUG] 2020-12-15 19:50:45.372 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@776fe98
[DEBUG] 2020-12-15 19:50:45.373 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@2cbcf7f7
[DEBUG] 2020-12-15 19:50:45.373 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@2cbcf7f7
[DEBUG] 2020-12-15 19:50:45.375 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@4ec7dae8
[DEBUG] 2020-12-15 19:50:45.375 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@4ec7dae8
[DEBUG] 2020-12-15 19:50:45.376 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@79055f45
[DEBUG] 2020-12-15 19:50:45.376 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@79055f45
[DEBUG] 2020-12-15 19:50:45.377 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@1040f151
[DEBUG] 2020-12-15 19:50:45.377 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@1040f151
[DEBUG] 2020-12-15 19:50:45.377 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@6e3d1db7
[DEBUG] 2020-12-15 19:50:45.378 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@5ce080da
[DEBUG] 2020-12-15 19:50:45.378 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@5ce080da
[DEBUG] 2020-12-15 19:50:45.378 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@5ce080da
[DEBUG] 2020-12-15 19:50:45.379 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@1ca8fa07
[DEBUG] 2020-12-15 19:50:45.379 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@1ca8fa07
[DEBUG] 2020-12-15 19:50:45.379 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@1ca8fa07
[DEBUG] 2020-12-15 19:50:45.380 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@32641633
[DEBUG] 2020-12-15 19:50:45.380 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@442e82df
[DEBUG] 2020-12-15 19:50:45.383 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@7b5ebe15
[DEBUG] 2020-12-15 19:50:45.384 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@7b5ebe15
[DEBUG] 2020-12-15 19:50:45.384 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@7b5ebe15
[DEBUG] 2020-12-15 19:50:45.385 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@4739d872
[DEBUG] 2020-12-15 19:50:45.385 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@4739d872
[DEBUG] 2020-12-15 19:50:45.385 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@4739d872
[DEBUG] 2020-12-15 19:50:45.386 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@22c80988
[DEBUG] 2020-12-15 19:50:45.386 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@25d4bc02
[DEBUG] 2020-12-15 19:50:45.387 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@f0b20ec
[DEBUG] 2020-12-15 19:50:45.388 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@f0b20ec
[DEBUG] 2020-12-15 19:50:45.389 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@5a8acdb3
[DEBUG] 2020-12-15 19:50:45.391 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@3d41db55
[DEBUG] 2020-12-15 19:50:45.391 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@3d41db55
[DEBUG] 2020-12-15 19:50:45.393 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@5fa374ac
[DEBUG] 2020-12-15 19:50:45.393 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@5fa374ac
[DEBUG] 2020-12-15 19:50:45.394 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@aec258
[DEBUG] 2020-12-15 19:50:45.394 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@74f5e04d
[DEBUG] 2020-12-15 19:50:45.395 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@46da0e35
[DEBUG] 2020-12-15 19:50:45.398 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@6675a893
[DEBUG] 2020-12-15 19:50:45.398 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@6675a893
[DEBUG] 2020-12-15 19:50:45.398 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@75c02afc
[DEBUG] 2020-12-15 19:50:45.399 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@f1289bb
[DEBUG] 2020-12-15 19:50:45.399 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@28718ef6
[DEBUG] 2020-12-15 19:50:45.399 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@47c0b99c
[DEBUG] 2020-12-15 19:50:45.399 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@3323fc52
[DEBUG] 2020-12-15 19:50:45.399 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@28e7e4dc
[DEBUG] 2020-12-15 19:50:45.399 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@cc5d908
[DEBUG] 2020-12-15 19:50:45.399 [http-nio-8080-exec-5] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@4e0b8d55
[DEBUG] 2020-12-15 19:50:45.437 [http-nio-8080-exec-5] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
