[DEBUG] 2020-12-15 23:41:37.760 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-15 23:41:37.765 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-15 23:41:37.768 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-15 23:41:37.828 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-15 23:41:37.831 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-15 23:41:37.965 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-15 23:41:37.965 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-15 23:41:37.969 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-15 23:41:38.143 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-15 23:41:38.157 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-15 23:41:38.158 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-15 23:41:38.171 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-15 23:41:38.191 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4d654825
[DEBUG] 2020-12-15 23:41:38.191 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@4d654825
[DEBUG] 2020-12-15 23:41:38.191 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@4d654825
[DEBUG] 2020-12-15 23:41:38.191 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6d7cada5
[DEBUG] 2020-12-15 23:41:38.192 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@3964d79
[DEBUG] 2020-12-15 23:41:38.192 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5fbdc49b
[DEBUG] 2020-12-15 23:41:38.193 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4e1459ea
[DEBUG] 2020-12-15 23:41:38.193 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@4e1459ea
[DEBUG] 2020-12-15 23:41:38.193 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@4e1459ea
[DEBUG] 2020-12-15 23:41:38.194 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@57c47a9e
[DEBUG] 2020-12-15 23:41:38.194 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@57c47a9e
[DEBUG] 2020-12-15 23:41:38.194 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@57c47a9e
[DEBUG] 2020-12-15 23:41:38.195 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@52d6cd34
[DEBUG] 2020-12-15 23:41:38.195 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@52d6cd34
[DEBUG] 2020-12-15 23:41:38.195 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@52d6cd34
[DEBUG] 2020-12-15 23:41:38.196 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@c2e3264
[DEBUG] 2020-12-15 23:41:38.196 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@c2e3264
[DEBUG] 2020-12-15 23:41:38.196 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@c2e3264
[DEBUG] 2020-12-15 23:41:38.197 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4a14c44f
[DEBUG] 2020-12-15 23:41:38.197 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@4a14c44f
[DEBUG] 2020-12-15 23:41:38.197 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@4a14c44f
[DEBUG] 2020-12-15 23:41:38.197 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5c1f6d57
[DEBUG] 2020-12-15 23:41:38.198 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5c1f6d57
[DEBUG] 2020-12-15 23:41:38.198 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5c1f6d57
[DEBUG] 2020-12-15 23:41:38.198 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@16872c4d
[DEBUG] 2020-12-15 23:41:38.198 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@16872c4d
[DEBUG] 2020-12-15 23:41:38.198 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@16872c4d
[DEBUG] 2020-12-15 23:41:38.199 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@67fc2aad
[DEBUG] 2020-12-15 23:41:38.199 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@67fc2aad
[DEBUG] 2020-12-15 23:41:38.200 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2e53b094
[DEBUG] 2020-12-15 23:41:38.200 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2e53b094
[DEBUG] 2020-12-15 23:41:38.200 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@53b8afea
[DEBUG] 2020-12-15 23:41:38.200 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@53b8afea
[DEBUG] 2020-12-15 23:41:38.201 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@499ef98e
[DEBUG] 2020-12-15 23:41:38.201 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@16eedaa6
[DEBUG] 2020-12-15 23:41:38.202 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6e33fcae
[DEBUG] 2020-12-15 23:41:38.202 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6e33fcae
[DEBUG] 2020-12-15 23:41:38.202 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@27e5b378
[DEBUG] 2020-12-15 23:41:38.202 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@27e5b378
[DEBUG] 2020-12-15 23:41:38.205 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@6ecab872
[DEBUG] 2020-12-15 23:41:38.206 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@6ecab872
[DEBUG] 2020-12-15 23:41:38.206 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@6d025d1d
[DEBUG] 2020-12-15 23:41:38.207 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@6d025d1d
[DEBUG] 2020-12-15 23:41:38.207 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@7479b626
[DEBUG] 2020-12-15 23:41:38.208 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@7479b626
[DEBUG] 2020-12-15 23:41:38.208 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@17a703f5
[DEBUG] 2020-12-15 23:41:38.208 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@17a703f5
[DEBUG] 2020-12-15 23:41:38.209 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@65f2f9b0
[DEBUG] 2020-12-15 23:41:38.209 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@65f2f9b0
[DEBUG] 2020-12-15 23:41:38.210 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@38fc5554
[DEBUG] 2020-12-15 23:41:38.211 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@38fc5554
[DEBUG] 2020-12-15 23:41:38.212 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d1f1ff5
[DEBUG] 2020-12-15 23:41:38.212 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@4d1f1ff5
[DEBUG] 2020-12-15 23:41:38.213 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@670d4d38
[DEBUG] 2020-12-15 23:41:38.213 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@670d4d38
[DEBUG] 2020-12-15 23:41:38.213 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@63411512
[DEBUG] 2020-12-15 23:41:38.213 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@63411512
[DEBUG] 2020-12-15 23:41:38.214 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@2eadc9f6
[DEBUG] 2020-12-15 23:41:38.214 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@2eadc9f6
[DEBUG] 2020-12-15 23:41:38.214 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@2eadc9f6
[DEBUG] 2020-12-15 23:41:38.215 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@778d82e9
[DEBUG] 2020-12-15 23:41:38.215 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@71ad3d8a
[DEBUG] 2020-12-15 23:41:38.216 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@71ad3d8a
[DEBUG] 2020-12-15 23:41:38.216 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@71ad3d8a
[DEBUG] 2020-12-15 23:41:38.216 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@2c8662ac
[DEBUG] 2020-12-15 23:41:38.217 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@ef1695a
[DEBUG] 2020-12-15 23:41:38.217 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@ef1695a
[DEBUG] 2020-12-15 23:41:38.217 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@27b45ea
[DEBUG] 2020-12-15 23:41:38.217 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@27b45ea
[DEBUG] 2020-12-15 23:41:38.218 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@6778aea6
[DEBUG] 2020-12-15 23:41:38.218 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@6778aea6
[DEBUG] 2020-12-15 23:41:38.219 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@332820f4
[DEBUG] 2020-12-15 23:41:38.219 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@332820f4
[DEBUG] 2020-12-15 23:41:38.219 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@84487f4
[DEBUG] 2020-12-15 23:41:38.219 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@84487f4
[DEBUG] 2020-12-15 23:41:38.220 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@1290c49
[DEBUG] 2020-12-15 23:41:38.220 [main] BasicTypeRegistry - Adding type registration binary -> org.hibernate.type.BinaryType@3419e23b
[DEBUG] 2020-12-15 23:41:38.220 [main] BasicTypeRegistry - Adding type registration byte[] -> org.hibernate.type.BinaryType@3419e23b
[DEBUG] 2020-12-15 23:41:38.220 [main] BasicTypeRegistry - Adding type registration [B -> org.hibernate.type.BinaryType@3419e23b
[DEBUG] 2020-12-15 23:41:38.221 [main] BasicTypeRegistry - Adding type registration wrapper-binary -> org.hibernate.type.WrapperBinaryType@5e048149
[DEBUG] 2020-12-15 23:41:38.221 [main] BasicTypeRegistry - Adding type registration Byte[] -> org.hibernate.type.WrapperBinaryType@5e048149
[DEBUG] 2020-12-15 23:41:38.221 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Byte; -> org.hibernate.type.WrapperBinaryType@5e048149
[DEBUG] 2020-12-15 23:41:38.222 [main] BasicTypeRegistry - Adding type registration row_version -> org.hibernate.type.RowVersionType@702b06fb
[DEBUG] 2020-12-15 23:41:38.222 [main] BasicTypeRegistry - Adding type registration image -> org.hibernate.type.ImageType@2b22a1cc
[DEBUG] 2020-12-15 23:41:38.223 [main] BasicTypeRegistry - Adding type registration characters -> org.hibernate.type.CharArrayType@102efc59
[DEBUG] 2020-12-15 23:41:38.223 [main] BasicTypeRegistry - Adding type registration char[] -> org.hibernate.type.CharArrayType@102efc59
[DEBUG] 2020-12-15 23:41:38.223 [main] BasicTypeRegistry - Adding type registration [C -> org.hibernate.type.CharArrayType@102efc59
[DEBUG] 2020-12-15 23:41:38.223 [main] BasicTypeRegistry - Adding type registration wrapper-characters -> org.hibernate.type.CharacterArrayType@19650aa6
[DEBUG] 2020-12-15 23:41:38.223 [main] BasicTypeRegistry - Adding type registration [Ljava.lang.Character; -> org.hibernate.type.CharacterArrayType@19650aa6
[DEBUG] 2020-12-15 23:41:38.224 [main] BasicTypeRegistry - Adding type registration Character[] -> org.hibernate.type.CharacterArrayType@19650aa6
[DEBUG] 2020-12-15 23:41:38.224 [main] BasicTypeRegistry - Adding type registration text -> org.hibernate.type.TextType@f679798
[DEBUG] 2020-12-15 23:41:38.224 [main] BasicTypeRegistry - Adding type registration ntext -> org.hibernate.type.NTextType@60859f5a
[DEBUG] 2020-12-15 23:41:38.225 [main] BasicTypeRegistry - Adding type registration blob -> org.hibernate.type.BlobType@6631cb64
[DEBUG] 2020-12-15 23:41:38.225 [main] BasicTypeRegistry - Adding type registration java.sql.Blob -> org.hibernate.type.BlobType@6631cb64
[DEBUG] 2020-12-15 23:41:38.225 [main] BasicTypeRegistry - Adding type registration materialized_blob -> org.hibernate.type.MaterializedBlobType@140d1230
[DEBUG] 2020-12-15 23:41:38.226 [main] BasicTypeRegistry - Adding type registration clob -> org.hibernate.type.ClobType@47b67fcb
[DEBUG] 2020-12-15 23:41:38.226 [main] BasicTypeRegistry - Adding type registration java.sql.Clob -> org.hibernate.type.ClobType@47b67fcb
[DEBUG] 2020-12-15 23:41:38.227 [main] BasicTypeRegistry - Adding type registration nclob -> org.hibernate.type.NClobType@55259aa7
[DEBUG] 2020-12-15 23:41:38.227 [main] BasicTypeRegistry - Adding type registration java.sql.NClob -> org.hibernate.type.NClobType@55259aa7
[DEBUG] 2020-12-15 23:41:38.227 [main] BasicTypeRegistry - Adding type registration materialized_clob -> org.hibernate.type.MaterializedClobType@6cd56321
[DEBUG] 2020-12-15 23:41:38.227 [main] BasicTypeRegistry - Adding type registration materialized_nclob -> org.hibernate.type.MaterializedNClobType@718dbd79
[DEBUG] 2020-12-15 23:41:38.228 [main] BasicTypeRegistry - Adding type registration serializable -> org.hibernate.type.SerializableType@55e2fe3c
[DEBUG] 2020-12-15 23:41:38.230 [main] BasicTypeRegistry - Adding type registration object -> org.hibernate.type.ObjectType@66213a0d
[DEBUG] 2020-12-15 23:41:38.230 [main] BasicTypeRegistry - Adding type registration java.lang.Object -> org.hibernate.type.ObjectType@66213a0d
[DEBUG] 2020-12-15 23:41:38.230 [main] BasicTypeRegistry - Adding type registration imm_date -> org.hibernate.type.AdaptedImmutableType@70c0a3d5
[DEBUG] 2020-12-15 23:41:38.230 [main] BasicTypeRegistry - Adding type registration imm_time -> org.hibernate.type.AdaptedImmutableType@5c8e67b9
[DEBUG] 2020-12-15 23:41:38.230 [main] BasicTypeRegistry - Adding type registration imm_timestamp -> org.hibernate.type.AdaptedImmutableType@260a3a5e
[DEBUG] 2020-12-15 23:41:38.231 [main] BasicTypeRegistry - Adding type registration imm_dbtimestamp -> org.hibernate.type.AdaptedImmutableType@49206065
[DEBUG] 2020-12-15 23:41:38.231 [main] BasicTypeRegistry - Adding type registration imm_calendar -> org.hibernate.type.AdaptedImmutableType@3c0bbc9f
[DEBUG] 2020-12-15 23:41:38.231 [main] BasicTypeRegistry - Adding type registration imm_calendar_date -> org.hibernate.type.AdaptedImmutableType@1317b708
[DEBUG] 2020-12-15 23:41:38.231 [main] BasicTypeRegistry - Adding type registration imm_binary -> org.hibernate.type.AdaptedImmutableType@6438a7fe
[DEBUG] 2020-12-15 23:41:38.231 [main] BasicTypeRegistry - Adding type registration imm_serializable -> org.hibernate.type.AdaptedImmutableType@2e51d054
[DEBUG] 2020-12-15 23:41:38.250 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid2] -> [org.hibernate.id.UUIDGenerator]
[DEBUG] 2020-12-15 23:41:38.250 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [guid] -> [org.hibernate.id.GUIDGenerator]
[DEBUG] 2020-12-15 23:41:38.251 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-12-15 23:41:38.251 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [uuid.hex] -> [org.hibernate.id.UUIDHexGenerator]
[DEBUG] 2020-12-15 23:41:38.251 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [assigned] -> [org.hibernate.id.Assigned]
[DEBUG] 2020-12-15 23:41:38.251 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [identity] -> [org.hibernate.id.IdentityGenerator]
[DEBUG] 2020-12-15 23:41:38.252 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [select] -> [org.hibernate.id.SelectGenerator]
[DEBUG] 2020-12-15 23:41:38.252 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
[DEBUG] 2020-12-15 23:41:38.253 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [seqhilo] -> [org.hibernate.id.SequenceHiLoGenerator]
[DEBUG] 2020-12-15 23:41:38.253 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [increment] -> [org.hibernate.id.IncrementGenerator]
[DEBUG] 2020-12-15 23:41:38.254 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [foreign] -> [org.hibernate.id.ForeignGenerator]
[DEBUG] 2020-12-15 23:41:38.254 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [sequence-identity] -> [org.hibernate.id.SequenceIdentityGenerator]
[DEBUG] 2020-12-15 23:41:38.254 [main] DefaultIdentifierGeneratorFactory - Registering IdentifierGenerator strategy [enhanced-sequence] -> [org.hibernate.id.enhanced.SequenceStyleGenerator]
